type transport,depart,arrivee,prix,rapidite,confort
BRT,Prefecture Guediawaye,Golf Nord,400,8.0,6.0
BRT,Prefecture Guediawaye,Dalal Jam,400,8.0,6.0
BRT,Golf Nord,Prefecture Guediawaye,400,8.0,6.0
BRT,Golf Nord,Dalal Jam,400,8.0,6.0
BRT,Dalal Jam,Prefecture Guediawaye,400,8.0,6.0
BRT,Dalal Jam,Golf Nord,400,8.0,6.0
BRT,Prefecture Guediawaye,Grand Medine,500,8.0,6.0
BRT,Prefecture Guediawaye,Croisement 22,500,8.0,6.0
BRT,Prefecture Guediawaye,Parcelles Assainies,500,8.0,6.0
BRT,Prefecture Guediawaye,Liberte 5,500,8.0,6.0
BRT,Prefecture Guediawaye,Grande Mosquee,500,8.0,6.0
BRT,Golf Nord,Grand Medine,500,8.0,6.0
BRT,Golf Nord,Croisement 22,500,8.0,6.0
BRT,Golf Nord,Parcelles Assainies,500,8.0,6.0
BRT,Golf Nord,Liberte 5,500,8.0,6.0
BRT,Golf Nord,Grande Mosquee,500,8.0,6.0
BRT,Dalal Jam,Grand Medine,500,8.0,6.0
BRT,Dalal Jam,Croisement 22,500,8.0,6.0
BRT,Dalal Jam,Parcelles Assainies,500,8.0,6.0
BRT,Dalal Jam,Liberte 5,500,8.0,6.0
BRT,Dalal Jam,Grande Mosquee,500,8.0,6.0
BRT,Prefecture Guediawaye,Papa Gueye Fall (Petersen),500,8.0,6.0
BRT,Prefecture Guediawaye,Place de la Nation,500,8.0,6.0
BRT,Prefecture Guediawaye,Grand Dakar,500,8.0,6.0
BRT,Prefecture Guediawaye,Le Plateau,500,8.0,6.0
BRT,Golf Nord,Papa Gueye Fall (Petersen),500,8.0,6.0
BRT,Golf Nord,Place de la Nation,500,8.0,6.0
BRT,Golf Nord,Grand Dakar,500,8.0,6.0
BRT,Golf Nord,Le Plateau,500,8.0,6.0
BRT,Dalal Jam,Papa Gueye Fall (Petersen),500,8.0,6.0
BRT,Dalal Jam,Place de la Nation,500,8.0,6.0
BRT,Dalal Jam,Grand Dakar,500,8.0,6.0
BRT,Dalal Jam,Le Plateau,500,8.0,6.0
BRT,Grand Medine,Prefecture Guediawaye,500,8.0,6.0
BRT,Grand Medine,Golf Nord,500,8.0,6.0
BRT,Grand Medine,Dalal Jam,500,8.0,6.0
BRT,Croisement 22,Prefecture Guediawaye,500,8.0,6.0
BRT,Croisement 22,Golf Nord,500,8.0,6.0
BRT,Croisement 22,Dalal Jam,500,8.0,6.0
BRT,Parcelles Assainies,Prefecture Guediawaye,500,8.0,6.0
BRT,Parcelles Assainies,Golf Nord,500,8.0,6.0
BRT,Parcelles Assainies,Dalal Jam,500,8.0,6.0
BRT,Liberte 5,Prefecture Guediawaye,500,8.0,6.0
BRT,Liberte 5,Golf Nord,500,8.0,6.0
BRT,Liberte 5,Dalal Jam,500,8.0,6.0
BRT,Grande Mosquee,Prefecture Guediawaye,500,8.0,6.0
BRT,Grande Mosquee,Golf Nord,500,8.0,6.0
BRT,Grande Mosquee,Dalal Jam,500,8.0,6.0
BRT,Grand Medine,Croisement 22,400,8.0,6.0
BRT,Grand Medine,Parcelles Assainies,400,8.0,6.0
BRT,Grand Medine,Liberte 5,400,8.0,6.0
BRT,Grand Medine,Grande Mosquee,400,8.0,6.0
BRT,Croisement 22,Grand Medine,400,8.0,6.0
BRT,Croisement 22,Parcelles Assainies,400,8.0,6.0
